訂單編號,日期,星期,分店,品項,類別,數量,單價,金額
T1111,2026-07-04,星期六,中壢店,卡布奇諾,咖啡,2,95,190
T1112,2026-07-04,星期六,中壢店,拿鐵,咖啡,1,90,90
T1113,2026-07-04,星期六,中壢店,拿鐵,咖啡,2,90,180
T1079,2026-07-04,星期六,信義店,肉桂捲,烘焙,2,85,170
T1080,2026-07-04,星期六,信義店,拿鐵,咖啡,2,90,180
T1081,2026-07-04,星期六,信義店,拿鐵,咖啡,1,90,90
T1082,2026-07-04,星期六,信義店,卡布奇諾,咖啡,1,95,95
T1083,2026-07-04,星期六,信義店,拿鐵,咖啡,1,90,90
T1084,2026-07-04,星期六,信義店,拿鐵,咖啡,1,90,90
T1085,2026-07-04,星期六,信義店,美式咖啡,咖啡,1,70,70
T1086,2026-07-04,星期六,信義店,紅茶,茶飲,1,50,50
T1087,2026-07-04,星期六,信義店,美式咖啡,咖啡,2,70,140
T1088,2026-07-04,星期六,信義店,拿鐵,咖啡,1,90,90
T1089,2026-07-04,星期六,信義店,卡布奇諾,咖啡,1,95,95
T1090,2026-07-04,星期六,信義店,卡布奇諾,咖啡,2,95,190
T1091,2026-07-04,星期六,信義店,抹茶拿鐵,茶飲,1,100,100
T1092,2026-07-04,星期六,板橋店,抹茶拿鐵,茶飲,1,100,100
T1093,2026-07-04,星期六,板橋店,拿鐵,咖啡,1,90,90
T1094,2026-07-04,星期六,板橋店,卡布奇諾,咖啡,1,95,95
T1095,2026-07-04,星期六,板橋店,紅茶,茶飲,1,50,50
T1096,2026-07-04,星期六,板橋店,抹茶拿鐵,茶飲,1,100,100
T1097,2026-07-04,星期六,板橋店,拿鐵,咖啡,1,90,90
T1098,2026-07-04,星期六,板橋店,美式咖啡,咖啡,2,70,140
T1099,2026-07-04,星期六,板橋店,肉桂捲,烘焙,1,85,85
T1100,2026-07-04,星期六,板橋店,卡布奇諾,咖啡,3,95,285
T1101,2026-07-04,星期六,板橋店,拿鐵,咖啡,3,90,270
T1102,2026-07-04,星期六,板橋店,紅茶,茶飲,1,50,50
T1143,2026-07-05,星期日,中壢店,美式咖啡,咖啡,1,70,70
T1144,2026-07-05,星期日,中壢店,拿鐵,咖啡,1,90,90
T1145,2026-07-05,星期日,中壢店,紅茶,茶飲,2,50,100
T1146,2026-07-05,星期日,中壢店,肉桂捲,烘焙,1,85,85
T1147,2026-07-05,星期日,中壢店,拿鐵,咖啡,2,90,180
T1148,2026-07-05,星期日,中壢店,抹茶拿鐵,茶飲,3,100,300
T1149,2026-07-05,星期日,中壢店,紅茶,茶飲,1,50,50
T1150,2026-07-05,星期日,中壢店,肉桂捲,烘焙,1,85,85
T1151,2026-07-05,星期日,中壢店,抹茶拿鐵,茶飲,2,100,200
T1152,2026-07-05,星期日,中壢店,卡布奇諾,咖啡,3,95,285
T1114,2026-07-05,星期日,信義店,美式咖啡,咖啡,2,70,140
T1115,2026-07-05,星期日,信義店,可頌,烘焙,1,60,60
T1116,2026-07-05,星期日,信義店,起司蛋糕,烘焙,1,120,120
T1117,2026-07-05,星期日,信義店,美式咖啡,咖啡,1,70,70
T1118,2026-07-05,星期日,信義店,起司蛋糕,烘焙,3,120,360
T1119,2026-07-05,星期日,信義店,拿鐵,咖啡,2,90,180
T1120,2026-07-05,星期日,信義店,可頌,烘焙,3,60,180
T1121,2026-07-05,星期日,信義店,拿鐵,咖啡,1,90,90
T1122,2026-07-05,星期日,信義店,拿鐵,咖啡,1,90,90
T1123,2026-07-05,星期日,信義店,拿鐵,咖啡,3,90,270
T1124,2026-07-05,星期日,信義店,抹茶拿鐵,茶飲,2,100,200
T1125,2026-07-05,星期日,信義店,拿鐵,咖啡,2,90,180
T1126,2026-07-05,星期日,信義店,紅茶,茶飲,2,50,100
T1127,2026-07-05,星期日,信義店,可頌,烘焙,3,60,180
T1128,2026-07-05,星期日,信義店,拿鐵,咖啡,1,90,90
T1129,2026-07-05,星期日,板橋店,拿鐵,咖啡,2,90,180
T1130,2026-07-05,星期日,板橋店,美式咖啡,咖啡,1,70,70
T1131,2026-07-05,星期日,板橋店,美式咖啡,咖啡,2,70,140
T1132,2026-07-05,星期日,板橋店,美式咖啡,咖啡,3,70,210
T1133,2026-07-05,星期日,板橋店,美式咖啡,咖啡,1,70,70
T1134,2026-07-05,星期日,板橋店,紅茶,茶飲,1,50,50
T1135,2026-07-05,星期日,板橋店,紅茶,茶飲,1,50,50
T1136,2026-07-05,星期日,板橋店,卡布奇諾,咖啡,1,95,95
T1137,2026-07-05,星期日,板橋店,抹茶拿鐵,茶飲,1,100,100
T1138,2026-07-05,星期日,板橋店,拿鐵,咖啡,1,90,90
T1139,2026-07-05,星期日,板橋店,美式咖啡,咖啡,1,70,70
T1140,2026-07-05,星期日,板橋店,美式咖啡,咖啡,2,70,140
T1141,2026-07-05,星期日,板橋店,起司蛋糕,烘焙,1,120,120
T1142,2026-07-05,星期日,板橋店,拿鐵,咖啡,1,90,90
T1169,2026-07-06,星期一,中壢店,美式咖啡,咖啡,2,70,140
T1170,2026-07-06,星期一,中壢店,美式咖啡,咖啡,2,70,140
T1171,2026-07-06,星期一,中壢店,拿鐵,咖啡,1,90,90
T1172,2026-07-06,星期一,中壢店,可頌,烘焙,3,60,180
T1173,2026-07-06,星期一,中壢店,拿鐵,咖啡,1,90,90
T1174,2026-07-06,星期一,中壢店,拿鐵,咖啡,1,90,90
T1175,2026-07-06,星期一,中壢店,紅茶,茶飲,2,50,100
T1176,2026-07-06,星期一,中壢店,紅茶,茶飲,2,50,100
T1153,2026-07-06,星期一,信義店,紅茶,茶飲,2,50,100
T1154,2026-07-06,星期一,信義店,紅茶,茶飲,1,50,50
T1155,2026-07-06,星期一,信義店,拿鐵,咖啡,1,90,90
T1156,2026-07-06,星期一,信義店,美式咖啡,咖啡,3,70,210
T1157,2026-07-06,星期一,信義店,拿鐵,咖啡,1,90,90
T1158,2026-07-06,星期一,信義店,拿鐵,咖啡,1,90,90
T1159,2026-07-06,星期一,信義店,拿鐵,咖啡,1,90,90
T1160,2026-07-06,星期一,信義店,拿鐵,咖啡,2,90,180
T1161,2026-07-06,星期一,板橋店,抹茶拿鐵,茶飲,1,100,100
T1162,2026-07-06,星期一,板橋店,抹茶拿鐵,茶飲,1,100,100
T1163,2026-07-06,星期一,板橋店,拿鐵,咖啡,1,90,90
T1164,2026-07-06,星期一,板橋店,紅茶,茶飲,1,50,50
T1165,2026-07-06,星期一,板橋店,美式咖啡,咖啡,1,70,70
T1166,2026-07-06,星期一,板橋店,美式咖啡,咖啡,1,70,70
T1167,2026-07-06,星期一,板橋店,卡布奇諾,咖啡,2,95,190
T1168,2026-07-06,星期一,板橋店,紅茶,茶飲,3,50,150
T1195,2026-07-07,星期二,中壢店,起司蛋糕,烘焙,1,120,120
T1196,2026-07-07,星期二,中壢店,拿鐵,咖啡,3,90,270
T1197,2026-07-07,星期二,中壢店,卡布奇諾,咖啡,2,95,190
T1198,2026-07-07,星期二,中壢店,起司蛋糕,烘焙,3,120,360
T1199,2026-07-07,星期二,中壢店,抹茶拿鐵,茶飲,1,100,100
T1200,2026-07-07,星期二,中壢店,美式咖啡,咖啡,2,70,140
T1201,2026-07-07,星期二,中壢店,美式咖啡,咖啡,1,70,70
T1202,2026-07-07,星期二,中壢店,肉桂捲,烘焙,2,85,170
T1177,2026-07-07,星期二,信義店,可頌,烘焙,1,60,60
T1178,2026-07-07,星期二,信義店,美式咖啡,咖啡,1,70,70
T1179,2026-07-07,星期二,信義店,抹茶拿鐵,茶飲,2,100,200
T1180,2026-07-07,星期二,信義店,拿鐵,咖啡,1,90,90
T1181,2026-07-07,星期二,信義店,美式咖啡,咖啡,3,70,210
T1182,2026-07-07,星期二,信義店,抹茶拿鐵,茶飲,1,100,100
T1183,2026-07-07,星期二,信義店,抹茶拿鐵,茶飲,3,100,300
T1184,2026-07-07,星期二,信義店,起司蛋糕,烘焙,2,120,240
T1185,2026-07-07,星期二,信義店,可頌,烘焙,1,60,60
T1186,2026-07-07,星期二,信義店,紅茶,茶飲,3,50,150
T1187,2026-07-07,星期二,板橋店,美式咖啡,咖啡,1,70,70
T1188,2026-07-07,星期二,板橋店,抹茶拿鐵,茶飲,1,100,100
T1189,2026-07-07,星期二,板橋店,卡布奇諾,咖啡,1,95,95
T1190,2026-07-07,星期二,板橋店,紅茶,茶飲,1,50,50
T1191,2026-07-07,星期二,板橋店,肉桂捲,烘焙,2,85,170
T1192,2026-07-07,星期二,板橋店,紅茶,茶飲,1,50,50
T1193,2026-07-07,星期二,板橋店,肉桂捲,烘焙,1,85,85
T1194,2026-07-07,星期二,板橋店,抹茶拿鐵,茶飲,1,100,100
T1220,2026-07-08,星期三,中壢店,拿鐵,咖啡,1,90,90
T1221,2026-07-08,星期三,中壢店,肉桂捲,烘焙,1,85,85
T1222,2026-07-08,星期三,中壢店,肉桂捲,烘焙,3,85,255
T1223,2026-07-08,星期三,中壢店,美式咖啡,咖啡,2,70,140
T1224,2026-07-08,星期三,中壢店,紅茶,茶飲,2,50,100
T1225,2026-07-08,星期三,中壢店,拿鐵,咖啡,2,90,180
T1226,2026-07-08,星期三,中壢店,美式咖啡,咖啡,2,70,140
T1227,2026-07-08,星期三,中壢店,美式咖啡,咖啡,1,70,70
T1228,2026-07-08,星期三,中壢店,卡布奇諾,咖啡,1,95,95
T1229,2026-07-08,星期三,中壢店,美式咖啡,咖啡,1,70,70
T1203,2026-07-08,星期三,信義店,可頌,烘焙,3,60,180
T1204,2026-07-08,星期三,信義店,美式咖啡,咖啡,1,70,70
T1205,2026-07-08,星期三,信義店,拿鐵,咖啡,3,90,270
T1206,2026-07-08,星期三,信義店,拿鐵,咖啡,3,90,270
T1207,2026-07-08,星期三,信義店,紅茶,茶飲,1,50,50
T1208,2026-07-08,星期三,信義店,卡布奇諾,咖啡,3,95,285
T1209,2026-07-08,星期三,信義店,抹茶拿鐵,茶飲,2,100,200
T1210,2026-07-08,星期三,信義店,美式咖啡,咖啡,2,70,140
T1211,2026-07-08,星期三,信義店,拿鐵,咖啡,2,90,180
T1212,2026-07-08,星期三,信義店,可頌,烘焙,3,60,180
T1213,2026-07-08,星期三,信義店,美式咖啡,咖啡,2,70,140
T1214,2026-07-08,星期三,板橋店,美式咖啡,咖啡,3,70,210
T1215,2026-07-08,星期三,板橋店,拿鐵,咖啡,2,90,180
T1216,2026-07-08,星期三,板橋店,拿鐵,咖啡,1,90,90
T1217,2026-07-08,星期三,板橋店,紅茶,茶飲,3,50,150
T1218,2026-07-08,星期三,板橋店,可頌,烘焙,1,60,60
T1219,2026-07-08,星期三,板橋店,起司蛋糕,烘焙,1,120,120
T1252,2026-07-09,星期四,中壢店,拿鐵,咖啡,1,90,90
T1253,2026-07-09,星期四,中壢店,可頌,烘焙,1,60,60
T1254,2026-07-09,星期四,中壢店,起司蛋糕,烘焙,1,120,120
T1255,2026-07-09,星期四,中壢店,可頌,烘焙,1,60,60
T1256,2026-07-09,星期四,中壢店,拿鐵,咖啡,2,90,180
T1257,2026-07-09,星期四,中壢店,拿鐵,咖啡,1,90,90
T1258,2026-07-09,星期四,中壢店,卡布奇諾,咖啡,2,95,190
T1259,2026-07-09,星期四,中壢店,紅茶,茶飲,1,50,50
T1260,2026-07-09,星期四,中壢店,拿鐵,咖啡,1,90,90
T1230,2026-07-09,星期四,信義店,紅茶,茶飲,3,50,150
T1231,2026-07-09,星期四,信義店,紅茶,茶飲,1,50,50
T1232,2026-07-09,星期四,信義店,起司蛋糕,烘焙,1,120,120
T1233,2026-07-09,星期四,信義店,拿鐵,咖啡,1,90,90
T1234,2026-07-09,星期四,信義店,卡布奇諾,咖啡,2,95,190
T1235,2026-07-09,星期四,信義店,抹茶拿鐵,茶飲,1,100,100
T1236,2026-07-09,星期四,信義店,美式咖啡,咖啡,1,70,70
T1237,2026-07-09,星期四,信義店,卡布奇諾,咖啡,3,95,285
T1238,2026-07-09,星期四,信義店,美式咖啡,咖啡,1,70,70
T1239,2026-07-09,星期四,信義店,抹茶拿鐵,茶飲,3,100,300
T1240,2026-07-09,星期四,信義店,美式咖啡,咖啡,2,70,140
T1241,2026-07-09,星期四,信義店,起司蛋糕,烘焙,1,120,120
T1242,2026-07-09,星期四,板橋店,卡布奇諾,咖啡,1,95,95
T1243,2026-07-09,星期四,板橋店,紅茶,茶飲,2,50,100
T1244,2026-07-09,星期四,板橋店,起司蛋糕,烘焙,1,120,120
T1245,2026-07-09,星期四,板橋店,美式咖啡,咖啡,1,70,70
T1246,2026-07-09,星期四,板橋店,可頌,烘焙,1,60,60
T1247,2026-07-09,星期四,板橋店,拿鐵,咖啡,3,90,270
T1248,2026-07-09,星期四,板橋店,拿鐵,咖啡,1,90,90
T1249,2026-07-09,星期四,板橋店,拿鐵,咖啡,2,90,180
T1250,2026-07-09,星期四,板橋店,拿鐵,咖啡,3,90,270
T1251,2026-07-09,星期四,板橋店,紅茶,茶飲,2,50,100
T1277,2026-07-10,星期五,中壢店,美式咖啡,咖啡,2,70,140
T1278,2026-07-10,星期五,中壢店,紅茶,茶飲,1,50,50
T1279,2026-07-10,星期五,中壢店,拿鐵,咖啡,3,90,270
T1280,2026-07-10,星期五,中壢店,抹茶拿鐵,茶飲,2,100,200
T1281,2026-07-10,星期五,中壢店,起司蛋糕,烘焙,2,120,240
T1282,2026-07-10,星期五,中壢店,拿鐵,咖啡,1,90,90
T1283,2026-07-10,星期五,中壢店,可頌,烘焙,3,60,180
T1261,2026-07-10,星期五,信義店,拿鐵,咖啡,2,90,180
T1262,2026-07-10,星期五,信義店,拿鐵,咖啡,2,90,180
T1263,2026-07-10,星期五,信義店,抹茶拿鐵,茶飲,1,100,100
T1264,2026-07-10,星期五,信義店,拿鐵,咖啡,1,90,90
T1265,2026-07-10,星期五,信義店,抹茶拿鐵,茶飲,1,100,100
T1266,2026-07-10,星期五,信義店,拿鐵,咖啡,2,90,180
T1267,2026-07-10,星期五,信義店,卡布奇諾,咖啡,2,95,190
T1268,2026-07-10,星期五,信義店,拿鐵,咖啡,2,90,180
T1269,2026-07-10,星期五,板橋店,紅茶,茶飲,1,50,50
T1270,2026-07-10,星期五,板橋店,美式咖啡,咖啡,2,70,140
T1271,2026-07-10,星期五,板橋店,起司蛋糕,烘焙,3,120,360
T1272,2026-07-10,星期五,板橋店,肉桂捲,烘焙,3,85,255
T1273,2026-07-10,星期五,板橋店,可頌,烘焙,2,60,120
T1274,2026-07-10,星期五,板橋店,拿鐵,咖啡,1,90,90
T1275,2026-07-10,星期五,板橋店,紅茶,茶飲,1,50,50
T1276,2026-07-10,星期五,板橋店,肉桂捲,烘焙,3,85,255
T1310,2026-07-11,星期六,中壢店,拿鐵,咖啡,2,90,180
T1311,2026-07-11,星期六,中壢店,起司蛋糕,烘焙,2,120,240
T1312,2026-07-11,星期六,中壢店,拿鐵,咖啡,2,90,180
T1313,2026-07-11,星期六,中壢店,美式咖啡,咖啡,2,70,140
T1314,2026-07-11,星期六,中壢店,起司蛋糕,烘焙,3,120,360
T1315,2026-07-11,星期六,中壢店,紅茶,茶飲,3,50,150
T1316,2026-07-11,星期六,中壢店,卡布奇諾,咖啡,2,95,190
T1317,2026-07-11,星期六,中壢店,可頌,烘焙,1,60,60
T1318,2026-07-11,星期六,中壢店,肉桂捲,烘焙,2,85,170
T1319,2026-07-11,星期六,中壢店,美式咖啡,咖啡,2,70,140
T1320,2026-07-11,星期六,中壢店,肉桂捲,烘焙,2,85,170
T1284,2026-07-11,星期六,信義店,紅茶,茶飲,1,50,50
T1285,2026-07-11,星期六,信義店,拿鐵,咖啡,1,90,90
T1286,2026-07-11,星期六,信義店,可頌,烘焙,2,60,120
T1287,2026-07-11,星期六,信義店,拿鐵,咖啡,3,90,270
T1288,2026-07-11,星期六,信義店,拿鐵,咖啡,2,90,180
T1289,2026-07-11,星期六,信義店,紅茶,茶飲,2,50,100
T1290,2026-07-11,星期六,信義店,可頌,烘焙,1,60,60
T1291,2026-07-11,星期六,信義店,美式咖啡,咖啡,1,70,70
T1292,2026-07-11,星期六,信義店,肉桂捲,烘焙,1,85,85
T1293,2026-07-11,星期六,信義店,抹茶拿鐵,茶飲,1,100,100
T1294,2026-07-11,星期六,信義店,紅茶,茶飲,1,50,50
T1295,2026-07-11,星期六,信義店,抹茶拿鐵,茶飲,3,100,300
T1296,2026-07-11,星期六,板橋店,紅茶,茶飲,2,50,100
T1297,2026-07-11,星期六,板橋店,美式咖啡,咖啡,1,70,70
T1298,2026-07-11,星期六,板橋店,拿鐵,咖啡,2,90,180
T1299,2026-07-11,星期六,板橋店,美式咖啡,咖啡,2,70,140
T1300,2026-07-11,星期六,板橋店,紅茶,茶飲,1,50,50
T1301,2026-07-11,星期六,板橋店,肉桂捲,烘焙,2,85,170
T1302,2026-07-11,星期六,板橋店,紅茶,茶飲,1,50,50
T1303,2026-07-11,星期六,板橋店,拿鐵,咖啡,1,90,90
T1304,2026-07-11,星期六,板橋店,抹茶拿鐵,茶飲,1,100,100
T1305,2026-07-11,星期六,板橋店,卡布奇諾,咖啡,1,95,95
T1306,2026-07-11,星期六,板橋店,起司蛋糕,烘焙,1,120,120
T1307,2026-07-11,星期六,板橋店,紅茶,茶飲,1,50,50
T1308,2026-07-11,星期六,板橋店,美式咖啡,咖啡,1,70,70
T1309,2026-07-11,星期六,板橋店,拿鐵,咖啡,2,90,180
T1347,2026-07-12,星期日,中壢店,美式咖啡,咖啡,3,70,210
T1348,2026-07-12,星期日,中壢店,美式咖啡,咖啡,1,70,70
T1349,2026-07-12,星期日,中壢店,紅茶,茶飲,2,50,100
T1350,2026-07-12,星期日,中壢店,紅茶,茶飲,2,50,100
T1351,2026-07-12,星期日,中壢店,起司蛋糕,烘焙,1,120,120
T1352,2026-07-12,星期日,中壢店,拿鐵,咖啡,2,90,180
T1353,2026-07-12,星期日,中壢店,拿鐵,咖啡,2,90,180
T1354,2026-07-12,星期日,中壢店,美式咖啡,咖啡,3,70,210
T1355,2026-07-12,星期日,中壢店,紅茶,茶飲,1,50,50
T1356,2026-07-12,星期日,中壢店,起司蛋糕,烘焙,1,120,120
T1357,2026-07-12,星期日,中壢店,紅茶,茶飲,1,50,50
T1358,2026-07-12,星期日,中壢店,卡布奇諾,咖啡,1,95,95
T1359,2026-07-12,星期日,中壢店,美式咖啡,咖啡,2,70,140
T1321,2026-07-12,星期日,信義店,卡布奇諾,咖啡,3,95,285
T1322,2026-07-12,星期日,信義店,拿鐵,咖啡,1,90,90
T1323,2026-07-12,星期日,信義店,美式咖啡,咖啡,2,70,140
T1324,2026-07-12,星期日,信義店,起司蛋糕,烘焙,1,120,120
T1325,2026-07-12,星期日,信義店,可頌,烘焙,2,60,120
T1326,2026-07-12,星期日,信義店,卡布奇諾,咖啡,2,95,190
T1327,2026-07-12,星期日,信義店,紅茶,茶飲,2,50,100
T1328,2026-07-12,星期日,信義店,肉桂捲,烘焙,1,85,85
T1329,2026-07-12,星期日,信義店,卡布奇諾,咖啡,1,95,95
T1330,2026-07-12,星期日,信義店,拿鐵,咖啡,2,90,180
T1331,2026-07-12,星期日,信義店,美式咖啡,咖啡,1,70,70
T1332,2026-07-12,星期日,信義店,可頌,烘焙,1,60,60
T1333,2026-07-12,星期日,信義店,可頌,烘焙,3,60,180
T1334,2026-07-12,星期日,信義店,卡布奇諾,咖啡,2,95,190
T9901,2026-07-12,星期日,信義店,拿鐵,咖啡,-1,90,-90
T1335,2026-07-12,星期日,板橋店,拿鐵,咖啡,3,90,270
T1336,2026-07-12,星期日,板橋店,拿鐵,咖啡,2,90,180
T1337,2026-07-12,星期日,板橋店,紅茶,茶飲,1,50,50
T1338,2026-07-12,星期日,板橋店,美式咖啡,咖啡,2,70,140
T1339,2026-07-12,星期日,板橋店,紅茶,茶飲,1,50,50
T1340,2026-07-12,星期日,板橋店,紅茶,茶飲,1,50,50
T1341,2026-07-12,星期日,板橋店,可頌,烘焙,3,60,180
T1342,2026-07-12,星期日,板橋店,抹茶拿鐵,茶飲,3,100,300
T1343,2026-07-12,星期日,板橋店,起司蛋糕,烘焙,1,120,120
T1344,2026-07-12,星期日,板橋店,可頌,烘焙,1,60,60
T1345,2026-07-12,星期日,板橋店,美式咖啡,咖啡,2,70,140
T1346,2026-07-12,星期日,板橋店,紅茶,茶飲,1,50,50
T1378,2026-07-13,星期一,中壢店,美式咖啡,咖啡,1,70,70
T1379,2026-07-13,星期一,中壢店,紅茶,茶飲,1,50,50
T1380,2026-07-13,星期一,中壢店,起司蛋糕,烘焙,2,120,240
T1381,2026-07-13,星期一,中壢店,美式咖啡,咖啡,1,70,70
T1382,2026-07-13,星期一,中壢店,紅茶,茶飲,3,50,150
T1383,2026-07-13,星期一,中壢店,可頌,烘焙,1,60,60
T1384,2026-07-13,星期一,中壢店,紅茶,茶飲,2,50,100
T1360,2026-07-13,星期一,信義店,拿鐵,咖啡,1,90,90
T1361,2026-07-13,星期一,信義店,美式咖啡,咖啡,1,70,70
T1362,2026-07-13,星期一,信義店,起司蛋糕,烘焙,1,120,120
T1363,2026-07-13,星期一,信義店,拿鐵,咖啡,2,90,180
T1364,2026-07-13,星期一,信義店,拿鐵,咖啡,1,90,90
